anio,mes,codigo_dane,municipio,area_operativa,latitud,longitud,fecha,especie,condicion,vacuna,lote,vacunaciones
2026,6,76233,DAGUA,ARO SUR CALI,3.57272,-76.64769,2026-06-06,FELINO,PRIMERA VEZ,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57272,-76.64769,2026-06-06,SIN DATO,SIN DATO,SIN DATO,SIN DATO,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57279,-76.64452,2026-06-19,CANINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57284,-76.64772,2026-06-06,FELINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57285,-76.64759,2026-06-06,CANINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57285,-76.6476,2026-06-06,CANINO,PRIMERA VEZ,RABICAN,RAC261,2
2026,6,76233,DAGUA,ARO SUR CALI,3.57285,-76.6476,2026-06-06,CANINO,REVACUNADO,RABICAN,RAC261,3
2026,6,76233,DAGUA,ARO SUR CALI,3.57285,-76.6476,2026-06-06,FELINO,PRIMERA VEZ,RABICAN,RAC261,2
2026,6,76233,DAGUA,ARO SUR CALI,3.57285,-76.64762,2026-06-06,CANINO,PRIMERA VEZ,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57286,-76.64758,2026-06-06,CANINO,PRIMERA VEZ,RABICAN,RAC261,2
2026,6,76233,DAGUA,ARO SUR CALI,3.57286,-76.64758,2026-06-06,CANINO,REVACUNADO,RABICAN,RAC261,2
2026,6,76233,DAGUA,ARO SUR CALI,3.57286,-76.64758,2026-06-06,FELINO,PRIMERA VEZ,RABICAN,RAC261,2
2026,6,76233,DAGUA,ARO SUR CALI,3.57286,-76.64758,2026-06-06,FELINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57286,-76.64759,2026-06-05,CANINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57286,-76.64759,2026-06-06,CANINO,REVACUNADO,RABICAN,RAC261,2
2026,6,76233,DAGUA,ARO SUR CALI,3.57286,-76.6476,2026-06-06,CANINO,PRIMERA VEZ,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57286,-76.6476,2026-06-06,CANINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57286,-76.64765,2026-06-06,CANINO,PRIMERA VEZ,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57287,-76.6469,2026-06-05,FELINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57287,-76.64757,2026-06-06,CANINO,REVACUNADO,RABICAN,RAC261,2
2026,6,76233,DAGUA,ARO SUR CALI,3.57287,-76.64758,2026-06-05,CANINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57287,-76.64758,2026-06-06,CANINO,PRIMERA VEZ,RABICAN,RAC261,2
2026,6,76233,DAGUA,ARO SUR CALI,3.57287,-76.64758,2026-06-06,CANINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57287,-76.64758,2026-06-06,FELINO,PRIMERA VEZ,RABICAN,RAC261,3
2026,6,76233,DAGUA,ARO SUR CALI,3.57287,-76.64758,2026-06-06,FELINO,REVACUNADO,RABICAN,RAC261,2
2026,6,76233,DAGUA,ARO SUR CALI,3.57287,-76.64759,2026-06-05,CANINO,PRIMERA VEZ,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57287,-76.64759,2026-06-06,CANINO,REVACUNADO,RABICAN,RAC261,6
2026,6,76233,DAGUA,ARO SUR CALI,3.57287,-76.64759,2026-06-06,FELINO,PRIMERA VEZ,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57287,-76.64759,2026-06-06,FELINO,REVACUNADO,RABICAN,RAC261,2
2026,6,76233,DAGUA,ARO SUR CALI,3.57287,-76.64759,2026-06-06,SIN DATO,SIN DATO,SIN DATO,SIN DATO,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57287,-76.6476,2026-06-06,CANINO,PRIMERA VEZ,RABICAN,RAC261,2
2026,6,76233,DAGUA,ARO SUR CALI,3.57287,-76.6476,2026-06-06,CANINO,REVACUNADO,RABICAN,RAC261,3
2026,6,76233,DAGUA,ARO SUR CALI,3.57287,-76.6476,2026-06-06,FELINO,PRIMERA VEZ,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57287,-76.64761,2026-06-06,CANINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57287,-76.64769,2026-06-06,CANINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57288,-76.64688,2026-06-05,FELINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57288,-76.6469,2026-06-05,CANINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57288,-76.6469,2026-06-05,FELINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57288,-76.64691,2026-06-05,CANINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57288,-76.64757,2026-06-06,FELINO,PRIMERA VEZ,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57288,-76.64758,2026-06-05,CANINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57288,-76.64758,2026-06-06,CANINO,PRIMERA VEZ,RABICAN,RAC261,3
2026,6,76233,DAGUA,ARO SUR CALI,3.57288,-76.64758,2026-06-06,CANINO,REVACUNADO,RABICAN,RAC261,4
2026,6,76233,DAGUA,ARO SUR CALI,3.57288,-76.64758,2026-06-06,FELINO,PRIMERA VEZ,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57288,-76.64758,2026-06-06,FELINO,REVACUNADO,RABICAN,RAC261,2
2026,6,76233,DAGUA,ARO SUR CALI,3.57288,-76.64759,2026-06-06,CANINO,PRIMERA VEZ,RABICAN,RAC261,3
2026,6,76233,DAGUA,ARO SUR CALI,3.57288,-76.64759,2026-06-06,CANINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57288,-76.6476,2026-06-06,CANINO,REVACUNADO,RABICAN,RAC261,2
2026,6,76233,DAGUA,ARO SUR CALI,3.57288,-76.6476,2026-06-06,CANINO,REVACUNADO,RABICAN,RAC264,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57288,-76.64761,2026-06-06,CANINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57288,-76.64763,2026-06-06,CANINO,PRIMERA VEZ,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57289,-76.64758,2026-06-06,CANINO,PRIMERA VEZ,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57289,-76.64759,2026-06-06,CANINO,REVACUNADO,RABICAN,RAC261,4
2026,6,76233,DAGUA,ARO SUR CALI,3.57289,-76.64759,2026-06-06,FELINO,PRIMERA VEZ,RABICAN,RAC261,1
