anio,anio_evento,mes,codigo_dane,municipio,area_operativa,especie,sector,provocado,condicion_vacunacion,seguimiento_3_visitas,estado_animal,eventos
2026,2025,12,76736,SEVILLA,ARO CENTRO TULUA,CANINO,URBANO,NO,NO VACUNADO,1 VISITA,CON SIGNOS REPORTADOS,1
2026,2025,12,76736,SEVILLA,ARO CENTRO TULUA,CANINO,URBANO,NO,NO VACUNADO,1 VISITA,OBSERVADO SANO,1
2026,2025,12,76736,SEVILLA,ARO CENTRO TULUA,CANINO,URBANO,SI,DESCONOCIDO,1 VISITA,NO OBSERVABLE,1
2026,2025,12,76823,TORO,ARO NORTE CARTAGO,CANINO,URBANO,NO,VACUNADO,CUMPLE,SIN CLASIFICAR,1
2026,2025,12,76823,TORO,ARO NORTE CARTAGO,FELINO,URBANO,SI,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025,12,76823,TORO,ARO NORTE CARTAGO,OTRO,URBANO,NO,NO VACUNADO,1 VISITA,NO OBSERVABLE,1
2026,2025,12,76828,TRUJILLO,ARO CENTRO TULUA,CANINO,RURAL,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025,12,76828,TRUJILLO,ARO CENTRO TULUA,CANINO,RURAL,NO,VACUNADO,1 VISITA,SIN CLASIFICAR,1
2026,2025,12,76828,TRUJILLO,ARO CENTRO TULUA,CANINO,RURAL,SI,VACUNADO,2 VISITAS,SIN CLASIFICAR,2
2026,2025,12,76828,TRUJILLO,ARO CENTRO TULUA,CANINO,URBANO,NO,VACUNADO,2 VISITAS,SIN CLASIFICAR,1
2026,2025,12,76828,TRUJILLO,ARO CENTRO TULUA,FELINO,RURAL,NO,VACUNADO,2 VISITAS,SIN CLASIFICAR,1
2026,2025,12,76828,TRUJILLO,ARO CENTRO TULUA,OTRO,RURAL,NO,DESCONOCIDO,1 VISITA,SIN CLASIFICAR,1
2026,2025,12,76863,VERSALLES,ARO NORTE CARTAGO,CANINO,RURAL,NO,DESCONOCIDO,1 VISITA,NO OBSERVADO,1
2026,2025,12,76863,VERSALLES,ARO NORTE CARTAGO,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,NO OBSERVABLE,3
2026,2025,12,76863,VERSALLES,ARO NORTE CARTAGO,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,NO OBSERVADO,1
2026,2025,12,76863,VERSALLES,ARO NORTE CARTAGO,CANINO,URBANO,SI,DESCONOCIDO,1 VISITA,NO OBSERVADO,1
2026,2025,12,76869,VIJES,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,NO OBSERVABLE,2
2026,2025,12,76890,YOTOCO,ARO CENTRO TULUA,CANINO,URBANO,NO,NO VACUNADO,1 VISITA,SIN CLASIFICAR,1
2026,2025,12,76895,ZARZAL,ARO CENTRO TULUA,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,NO OBSERVABLE,2
2026,2025,12,76895,ZARZAL,ARO CENTRO TULUA,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,OBSERVADO SANO,1
2026,2026,1,76020,ALCALA,ARO NORTE CARTAGO,CANINO,RURAL,NO,DESCONOCIDO,1 VISITA,NO OBSERVABLE,2
2026,2026,1,76020,ALCALA,ARO NORTE CARTAGO,CANINO,RURAL,NO,DESCONOCIDO,2 VISITAS,OBSERVADO SANO,1
