anio,fecha_apertura,fecha_agresion,mes,codigo_dane,municipio,area_operativa,especie,categoria_visitas,seguimiento_3_visitas,estado_animal,eventos
2026,2026-01-14,2025-12-30,1,76275,FLORIDA,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2026-01-14,2025-12-31,1,76895,ZARZAL,ARO CENTRO TULUA,CANINO,1 VISITA,1 VISITA,NO OBSERVABLE,2
2026,2026-01-14,2026-01-01,1,76275,FLORIDA,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,SIN CLASIFICAR,1
2026,2026-01-14,2026-01-01,1,76895,ZARZAL,ARO CENTRO TULUA,CANINO,1 VISITA,1 VISITA,NO OBSERVABLE,1
2026,2026-01-14,2026-01-02,1,76020,ALCALA,ARO NORTE CARTAGO,CANINO,1 VISITA,1 VISITA,OBSERVADO SANO,1
2026,2026-01-14,2026-01-02,1,76275,FLORIDA,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,SIN CLASIFICAR,1
2026,2026-01-14,2026-01-02,1,76828,TRUJILLO,ARO CENTRO TULUA,CANINO,2 VISITAS,2 VISITAS,SIN CLASIFICAR,1
2026,2026-01-14,2026-01-03,1,76036,ANDALUCIA,ARO CENTRO TULUA,CANINO,1 VISITA,1 VISITA,SIN CLASIFICAR,1
2026,2026-01-14,2026-01-03,1,76895,ZARZAL,ARO CENTRO TULUA,CANINO,1 VISITA,1 VISITA,SIN CLASIFICAR,2
2026,2026-01-14,2026-01-04,1,76400,LA UNION,ARO NORTE CARTAGO,CANINO,1 VISITA,1 VISITA,PERDIDO O DESAPARECIDO,1
