ID_SEDE_IRCA;COD_DANE;MUNICIPIO;NOMBRE_SEDE_IRCA;CANDIDATOS_POR_CODIGO;CANDIDATOS_POR_NOMBRE;TIPO_CRUCE;ESTADO_CRUCE;ESTADO_GEORREFERENCIACION;OBSERVACION
795;276736000810;SEVILLA;I.E. BENJAMIN HERRERA SEDE BENJAMIN HERRERA;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
796;;SEVILLA;I.E. BENJAMIN HERRERA SEDE GENERAL SANTANDER SATELITE MEDIO SAN MARCOS;0;1;MUNICIPIO+NOMBRE_EXACTO;CRUCE_RECUPERADO;SIN_COORDENADAS;
797;276736001212;SEVILLA;I.E. BENJAMIN HERRERA SEDE JOSE MARIA CORDOBA;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
798;276736000283;SEVILLA;I.E. SANTA BARBARA SEDE SANTA BARBARA;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
799;;SEVILLA;I.E. SANTA BARBARA SEDE GENERAL SANTANDER QUEBRADA NUEVA;0;1;MUNICIPIO+NOMBRE_EXACTO;CRUCE_RECUPERADO;SIN_COORDENADAS;
800;276736001328;SEVILLA;I.E. SANTA BARBARA SEDE BUENOS AIRES;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
801;276736000151;SEVILLA;I.E. JORGE ELIECER GAITAN SEDE SANTA ANA;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
802;276736000577;SEVILLA;I.E. SANTA TERESITA SEDE LA CABAÑA;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
803;;SEVILLA;I.E JORGE ELIECER GAITAN SEDE SANTA MATILDE;0;1;MUNICIPIO+NOMBRE_EXACTO;CRUCE_RECUPERADO;SIN_COORDENADAS;
804;176736000131;SEVILLA;I.E. HERACLIO URIBE URIBE SEDE HERACLIO URIBE URIBE;2;1;COD_DANE_DUPLICADO+NOMBRE_EXACTO;CRUCE_OK_CONTROLADO;GEORREFERENCIADA;
805;276736000488;SEVILLA;I.E. JORGE ELIECER GAITAN SEDE JORGE ELIECER GAITAN;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
