ID_SEDE_IRCA;COD_DANE;MUNICIPIO;NOMBRE_SEDE_IRCA;NIVEL_RIESGO_IRCA;ESTUDIANTES_IRCAS;ESTUDIANTES_SEDESUESVALLE;ESTUDIANTES_MEN_REFERENCIA;ESTUDIANTES_ACTUAL_FINAL;FUENTE_MATRICULA_FINAL;ESTADO_COMPLEMENTO_MATRICULA;REQUIERE_VALIDACION_MATRICULA;MEN_METODO_CRUCE;MEN_SCORE_CRUCE
68;276377000281;LA CUMBRE;I.E. FRANCISCO DE PAULA SANTANDER SEDE EDUARDO SANTOS;SIN RIESGO;10;12;0;10;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93
69;276377000272;LA CUMBRE;I.E. MARIA AUXILIADORA SEDE RICARDO NIETO;SIN RIESGO;6;6;0;6;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93
70;276377000191;LA CUMBRE;I.E. MARIA AUXILIADORA SEDE ATANASIO GIRARDOT;SIN RIESGO;11;13;0;11;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93
71;276828000166;BOLIVAR;CENTRO EDUCATIVO CENT DOC ANTONIO NARIÑO N. 16;SIN RIESGO;3;0;0;3;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93
72;176377000057;LA CUMBRE;I.E. SIMON BOLIVAR SEDE MARCO FIDEL SUAREZ;SIN RIESGO;116;125;0;116;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93
73;276377000124;LA CUMBRE;I.E. SIMON BOLIVAR SEDE ANTONIO NARIÑO;SIN RIESGO;24;8;0;24;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93
74;276377000116;LA CUMBRE;I.E. SAN PIO X SEDE CRISTOBAL COLON;MEDIO;31;24;0;31;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93
75;276377000221;LA CUMBRE;I.E. FRANCISCO DE PAULA SANTANDER SEDE SANTA TERESITA;MEDIO;12;13;0;12;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93
76;276377000396;LA CUMBRE;I.E. LA LIBERTAD SEDE JOSE JOAQUIN JARAMILLO;ALTO;11;8;0;11;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93
77;176377000014;LA CUMBRE;I.E. SAN PIO X SEDE SIMON BOLIVAR;SIN RIESGO;130;130;0;130;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93
78;276377000329;LA CUMBRE;I.E. LA LIBERTAD SEDE JOSE ANTONIO GALAN;SIN RIESGO;4;5;0;4;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93
79;276377000167;LA CUMBRE;I.E. LA LIBERTAD SEDE CRISTO REY;SIN RIESGO;7;10;0;7;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93
80;276377000248;LA CUMBRE;I.E. MARIA AUXILIADORA SEDE HELIODORO AGUADO;SIN RIESGO;6;8;0;6;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93
81;276377000353;LA CUMBRE;I.E. LA LIBERTAD SEDE CONCENTRACION DE DESARROLLO RURAL;ALTO;186;187;0;186;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.932
82;;FLORIDA;HOGAR ICBF REY LEON;SIN RIESGO;0;0;0;0;SIN_FUENTE;SIN_DATO_MATRICULA;SI;SIN_COINCIDENCIA_FUERTE;0.45
83;;FLORIDA;HOGAR INFANTIL LAS ABEJITAS;SIN RIESGO;0;0;0;0;SIN_FUENTE;SIN_DATO_MATRICULA;SI;SIN_COINCIDENCIA_FUERTE;0.571
84;276275000871;FLORIDA;I.E. JOSE MARIA CORDOBA SEDE SATELITE LAS AMERICAS;SIN RIESGO;83;35;0;83;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93
85;276275000154;FLORIDA;I.E. JOSE MARIA CORDOBA SEDE JOSE MARIA CORDOBA;SIN RIESGO;75;39;85;75;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE;0.93
86;276736000674;SEVILLA;I.E MARIA AUXILIADORA SEDE JOSE MARIA CARBONEL;MEDIO;14;10;0;14;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93
87;276243000390;EL AGUILA;I.E SANTA MARTA SEDE SAN LUIS BELTRAN;ALTO;9;16;18;9;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE;0.93
88;276400000218;LA UNION;I.E QUEBRADAGRANDE SEDE LUIS ALFONSO VINASCO;ALTO;6;6;6;6;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE;0.93
